variation_value,status,objective,pg_bus_1,pg_bus_3,pg_bus_4,pg_bus_5
0.05,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
0.1,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
0.15,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
0.2,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
0.25,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
0.3,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
0.35,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
0.4,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
0.45,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
0.5,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
0.55,feasible,17479.89692538103,3.2349484626905127,0.0,1.7,0.4
0.6,feasible,17480.645396866737,3.0392634714873505,0.13070615129734575,1.7,0.4
0.65,feasible,17481.589101872196,2.79253542744463,0.2955060823276463,1.7,0.4
0.7,feasible,17482.532806877658,2.5458073834019093,0.4603060133579462,1.7,0.4
0.75,feasible,17483.476511883116,2.2990793393591886,0.6251059443882465,1.7,0.4
0.8,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
0.85,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
0.9,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
0.95,INFEASIBLE,NaN,NaN,NaN,NaN,NaN
